dataOrigin,minPKey,maxPKey,nMS2,total
/home/chong/Downloads/CCLE/output/Protein_01/f04538_Prot_01_F01.mzML,3,83436,39267,39267
/home/chong/Downloads/CCLE/output/Protein_01/f04539_Prot_01_F02.mzML,83445,165286,38462,77729
/home/chong/Downloads/CCLE/output/Protein_01/f04540_Prot_01_F03.mzML,165303,248516,39137,116866
/home/chong/Downloads/CCLE/output/Protein_01/f04541_Prot_01_F04.mzML,248522,329139,37873,154739
/home/chong/Downloads/CCLE/output/Protein_01/f04542_Prot_01_F05.mzML,329143,408933,37478,192217
/home/chong/Downloads/CCLE/output/Protein_01/f04543_Prot_01_F06.mzML,408953,491210,38687,230904
/home/chong/Downloads/CCLE/output/Protein_01/f04544_Prot_01_F07.mzML,491244,573079,38493,269397
/home/chong/Downloads/CCLE/output/Protein_01/f04545_Prot_01_F08.mzML,573085,655090,38549,307946
/home/chong/Downloads/CCLE/output/Protein_01/f04546_Prot_01_F09.mzML,655097,737155,38599,346545
/home/chong/Downloads/CCLE/output/Protein_01/f04547_Prot_01_F10.mzML,737180,820078,39016,385561
/home/chong/Downloads/CCLE/output/Protein_01/f04548_Prot_01_F11.mzML,820093,902674,38842,424403
/home/chong/Downloads/CCLE/output/Protein_01/f04549_Prot_01_F12.mzML,902680,985733,39057,463460
/home/chong/Downloads/CCLE/output/Protein_02/f04726_Prot_02_F01.mzML,986041,1067750,38609,502069
/home/chong/Downloads/CCLE/output/Protein_02/f04727_Prot_02_F02.mzML,1067836,1151659,39506,541575
/home/chong/Downloads/CCLE/output/Protein_02/f04728_Prot_02_F03.mzML,1151704,1234070,38797,580372
/home/chong/Downloads/CCLE/output/Protein_02/f04729_Prot_02_F04.mzML,1234089,1317694,39379,619751
/home/chong/Downloads/CCLE/output/Protein_02/f04730_Prot_02_F05.mzML,1318213,1402091,39759,659510
/home/chong/Downloads/CCLE/output/Protein_02/f04731_Prot_02_F06.mzML,1402137,1485544,39294,698804
/home/chong/Downloads/CCLE/output/Protein_02/f04732_Prot_02_F07.mzML,1485577,1569567,39570,738374
